target,period,duration,depth,power,flux_std,label
317060587,9.140228045609122,0.08,0.00027675668680151715,1.3097619090879373e-05,0.0006079318809732485,1
366989877,17.175835167033405,0.01,0.0005067988872307986,1.2842255604918789e-05,0.0009679385838703769,1
320004517,17.12902580516103,0.04,0.00040757931933534824,1.4203337082513523e-05,0.000796906220164073,1
299799658,17.109521904380877,0.04,0.0006860681086445849,1.3414649316426003e-05,0.0007661545225280788,1
79748331,6.444788957791558,0.08,0.00034640418957674484,9.305679141242724e-05,0.0022328475381844038,1
158297421,7.845169033806761,0.06,0.021259342791771267,0.04858566301333897,0.014196038122038367,1
351601843,0.6053210642128426,0.04,0.0004019118446718675,0.0005909689593520774,0.0042711914749652665,1
370133522,2.0720144028805763,0.02,0.0006966513595234742,0.0002496987435554781,0.002575477699237249,1
161032923,14.538907781556311,0.06,0.0036741419738495176,0.0008774557508601839,0.005391943248797786,1
360630575,14.488197639527906,0.08,0.0005910969733651713,5.258404260418064e-05,0.001432814142211499,1
383390264,1.1709341868373675,0.08,0.0007686795633035763,0.000690429574710914,0.00092632106863008,1
290348383,6.440888177635527,0.06,0.0002458843710699685,3.660799954353499e-05,0.0006222185837915443,1
394561119,4.077015403080615,0.06,0.0014313069963741638,0.003436593126726305,0.002348095378661405,1
254113311,8.348369673934787,0.06,0.004397853035517244,0.0036554700398595567,0.002479702285248664,1
154872375,8.028505701140228,0.08,0.0019577544558182025,0.0006630748341047525,0.0008125790197869704,1
232967440,7.06501300260052,0.08,0.004427269502308474,0.0011662425571412078,0.0012355586752771485,1
266980320,6.035207041408282,0.06,0.0005064619893358464,0.00015467175922513987,0.0014232248107877803,1
158002130,9.68633726745349,0.08,0.0013498930510337387,0.0002569317861413138,0.001077706626970216,1
229510866,2.1032206441288257,0.08,0.0020618799393694897,0.00268472682048239,0.0012801836359724705,1
233087860,5.750450090018004,0.06,0.0009409233140705735,0.0001319151657612711,0.0010175036757753095,1
147950620,1.1553310662132428,0.06,0.001569365246607356,0.0022240052713648475,0.0014315709929011522,1
99869022,3.6713342668533704,0.08,0.003116273058163601,0.0035882727971369207,0.0013865220947699452,1
394137592,11.484596919383877,0.08,0.0006077815479413146,0.00013963259898678147,0.0004969585547931534,1
29960110,2.4932986597319466,0.04,0.0008467171838958459,0.0006477462455173263,0.0046037130838170815,1
23434737,15.884676935387077,0.08,0.00045371444093975945,1.1939694047202152e-05,0.00039351951560688943,1
349095149,7.700840168033607,0.01,0.0008966914240070938,1.72871934625892e-05,0.0010390484314053905,1
360156606,0.8276655331066214,0.08,0.0027244822607801963,0.01142740612573654,0.019233170672828738,1
300038935,14.967993598719744,0.04,0.0004453979429911688,1.0712483691521282e-05,0.0006331094595863324,1
290131778,3.308561712342468,0.08,0.0007924803711133711,0.000783147347834183,0.0008500616789436432,1
287156968,16.555611122224445,0.06,0.0005718089516463018,1.2915136348722288e-05,0.0008525753388860414,1
447061717,17.339667933586718,0.08,0.0015327004313617338,0.0001785369665345298,0.001390806261036491,1
364395234,1.3776755351070213,0.08,0.005138346550003652,0.024158383820160008,0.0032535211586634696,1
260647166,14.176135227045409,0.08,0.0007667329033284368,6.790006435286544e-05,0.0005563819282519152,1
103633434,3.4450890178035607,0.06,0.0006765492581879299,0.00013640023182888222,0.0010640254197890418,1
153951307,3.2929585917183437,0.06,0.0011527946577962799,0.00039402938258243985,0.0020066929885333975,1
219698776,9.319663932786558,0.04,0.001548769071972516,0.0001966922223404859,0.0021838769780956756,1
219850915,6.397979595919184,0.08,0.0009719667955420669,0.0001606023067781734,0.001819550903325037,1
230127302,4.307161432286457,0.08,0.0008863534234725666,0.00026829004662947553,0.0019355001018662211,1
232540264,15.915883176635326,0.08,0.0005450142846688929,3.415966560671168e-05,0.0005286536434661187,1
232612416,4.361772354470894,0.08,0.004534873972465401,0.007136083435312011,0.0020118627960384696,1
232976128,13.072214442888578,0.08,0.0008792130583902205,8.657774742891514e-05,0.0011583577536762358,1
52368076,4.654330866173234,0.08,0.00080131434066337,0.00021253664661496737,0.0010850926249246684,1
237222864,10.287057411482296,0.06,0.0007845604592567716,6.586225722252402e-05,0.0006859403851526031,1
355867695,7.494098819763953,0.06,0.0013797180049593433,0.00032837475587855087,0.001934165159673081,1
467179528,10.895579115823164,0.08,0.0026035648745787363,0.0007693654313719117,0.0018345407474213142,1
50365310,2.1734346869373873,0.04,0.0002463312393218214,7.308795121658553e-05,0.0017559440724512032,0
124709665,1.8691738347669533,0.04,0.0006012792210459413,0.0004725284690717295,0.0015404348452185425,0
106997505,2.7468493698739747,0.08,0.00046298997396672684,5.916328161426407e-05,0.0007045227091926336,0
238597883,9.514702940588117,0.01,0.0005712917335214766,2.4478068359248036e-05,0.0013692425527755867,0
169904935,4.549009801960392,0.08,0.0010286662066798526,0.0012740176143772011,0.0015028120415703514,0
156115721,2.50500100020004,0.08,0.0002947368111396571,0.0001747820131356371,0.001998374880827459,0
440801822,11.016503300660132,0.01,0.0005985252665800333,1.7911624736734996e-05,0.0011770373179846236,0
139853601,1.3620724144828964,0.04,0.0006526509403713509,0.000727102197694708,0.001003573044656324,0
97700520,5.422784556911382,0.06,0.0030996172891703047,0.007239347200180234,0.0008252770177790643,0
96246348,1.408881776355271,0.04,0.0011593362434441827,0.002428045339068746,0.0008320420153904266,0
175310067,13.606621324264852,0.01,0.0016865542127587805,0.00014506772074129388,0.003287554388910302,0
182943944,1.1046209241848368,0.08,0.0020348291901353998,0.0044096642721738475,0.0015725907091582582,0
291555748,4.958591718343668,0.08,0.003907692515402596,0.004390142478543373,0.0019752904658334155,0
140706664,10.747349469893978,0.01,0.0017044350068062368,0.0001467074839675421,0.003168203865815674,0
143994283,13.239947989597919,0.01,0.0015669989615472422,0.0001596065734568588,0.0032286629448394747,0
238374636,1.3230646129225845,0.08,0.002413168955616082,0.005153695201389054,0.0011496838941404827,0
141482386,17.004200840168032,0.02,0.0008461307742970159,9.199794140680209e-05,0.0025107786637849124,0
297967252,9.682436487297458,0.08,0.0014985510412393764,6.624682908438876e-05,0.0002679390489113763,0
388624270,13.743148629725944,0.04,0.0018244297317815115,0.0002845904988508146,0.002339551189987908,0
447283466,13.871874374874976,0.08,0.0020094776136311164,0.00023420401622170717,0.0005079607335858213,0
374908020,18.112022404480896,0.08,0.005773888246904687,0.00013335114195097634,0.0016843706424304328,0
464296022,13.399879975995198,0.02,0.0023125994433251165,0.0004599379919330169,0.0021602597106047546,0
304021498,13.360872174434887,0.01,0.0014340291236176542,0.00013264034951624332,0.002644854019817143,0
149601557,2.973094618923785,0.01,0.0005024468576504956,7.61145326960015e-05,0.002415177142694011,0
400595342,1.974494898979796,0.01,0.0008782706257849349,0.0003494257593288475,0.0023044182114296935,0
363260203,18.61522304460892,0.04,0.00033723280696939563,2.922757328678962e-05,0.001429796409609905,0
310483807,8.184536907381476,0.01,0.00040202543000563524,1.3980514611110176e-05,0.0010331814626795665,0
385624852,16.625825165033007,0.08,0.001715301017561447,0.0004810591144685393,0.0008971174929039858,0
360286627,19.208141628325663,0.02,0.010305926185073894,0.0022835604624421224,0.005613237028124051,0
90448944,14.917283456691338,0.01,0.001109340424748173,5.353267374214987e-05,0.0019631981199662936,0
54044474,3.7064412882576514,0.08,0.003025937357585976,0.0016710241827962774,0.0015108373482232088,0
309787037,1.3035607121424284,0.04,0.00032449255496027886,0.00027218865611071917,0.0023265477145526683,0
370745311,1.2528505701140227,0.02,0.001414496482210484,0.003105242062784414,0.0026760571813894537,0
384549882,3.0394078815763153,0.02,0.0009939509403863965,0.0005952329293167387,0.0013959651743254194,0
112395568,15.95879175835167,0.02,0.0009816694479954824,9.63674905127755e-05,0.0019321631299072538,0
253990973,1.0812162432486496,0.06,0.00039541197719845987,7.833166648770967e-05,0.0009224382694774493,0
31858844,14.940688137627525,0.01,53.9446876141208,133861.3488021136,9.681278390327332,0
140830390,12.752350470094019,0.08,0.006767421887130037,0.005289668884315971,0.003215548704526176,0
426077080,12.089217843568713,0.04,0.0004942803309403217,4.922907867922651e-05,0.0016390917599362145,0
129319156,0.6092218443688737,0.04,0.00023006702148094536,0.00022733793363252368,0.003403839179549096,0
361034196,2.192938587717544,0.08,0.0040964885552168,0.0013844505248493337,0.00128302498995977,0
387079085,1.1943388677735547,0.06,0.0006411725137701917,0.001302371745568777,0.0014880754161191547,0
382331352,11.823964792958591,0.01,0.0016078051562666664,0.00013183690844640166,0.0028476301788683414,0
375225453,0.9212842568513703,0.04,0.00016485801955837658,0.00010569588995682949,0.002493111205000307,0
271581073,2.668833766753351,0.06,0.0012685200542424946,0.0021272872152363342,0.0031240444810888995,0
311890977,3.316363272654531,0.08,0.0008792585754494538,2.203322581128998e-05,0.0008592814964396362,0
451599528,16.21624324864973,0.06,0.000651406351416303,1.6336714034621747e-05,0.00032989462061461445,0
